Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
1347,Text,1998-06-01,A New Philosophy,en,"Le Roy, Edouard, 1870-1954; Benson, Vincent [Translator]","Bergson, Henri, 1859-1941",B,Philosophy; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
1348,Text,1998-06-01,A Master's Degree,en,"McCarter, Margaret Hill, 1860-1938",Didactic fiction; College teachers -- Fiction,PS,Browsing: Literature; Browsing: Teaching & Education; Browsing: Fiction
1349,Text,2006-05-03,Russia,en,"Wallace, Donald Mackenzie, 1841-1919",Russia -- Politics and government -- 1801-1917; Russia -- Religious life and customs; Nobility -- Russia; Peasants -- Russia; Industries -- Russia -- History -- 19th century,DK,Browsing: History - European; Browsing: History - General; Browsing: Politics
1350,Text,2004-07-06,The Country Doctor,en,"Balzac, Honoré de, 1799-1850; Bell, Clara, 1834-1927 [Translator]; Marriage, Ellen, 1865-1946 [Translator]","Physicians -- Fiction; Napoleonic Wars, 1800-1815 -- Fiction; French fiction -- Translations into English; France -- History -- Consulate and First Empire, 1799-1815 -- Fiction",PQ,Browsing: History - General; Browsing: Literature; Browsing: Fiction
1351,Text,1998-06-01,The Chignecto Isthmus and Its First Settlers,en,"Trueman, Howard, 1837-1908",Canada -- History; Chignecto Isthmus (N.B. and N.S.) -- History; Chignecto Isthmus (N.B. and N.S.) -- Biography; Chignecto Isthmus (N.B. and N.S.) -- Genealogy,F1001,Browsing: History - American; Browsing: History - General
1352,Text,1998-06-01,An Old Maid,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",Biographical fiction; French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1353,Text,1998-06-01,Off on a Comet! a Journey through Planetary Space,en,"Verne, Jules, 1828-1905",Science fiction; Interplanetary voyages -- Fiction,PQ,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
1354,Text,1998-06-01,Chronicles of Avonlea,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Islands -- Fiction; City and town life -- Fiction; Prince Edward Island -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ; PS,Canada; Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction
1355,Text,1998-06-01,"The Underground City; Or, The Black Indies
(Sometimes Called The Child of the Cavern)",en,"Verne, Jules, 1828-1905","Coal mines and mining -- Fiction; Scotland -- Fiction; Adventure stories; Fantasy fiction, French -- Translations into English; Civilization, Subterranean -- Fiction; Imaginary places",PQ,Browsing: Science-Fiction & Fantasy; Browsing: Travel & Geography; Browsing: Fiction
1356,Text,1998-06-01,"The Cruise of the ""Cachalot"" Round the World After Sperm Whales",en,"Bullen, Frank Thomas, 1857-1915",Whaling -- Fiction; Sea stories; Sperm whale hunting -- Fiction; Whaling ships -- Fiction; Whalers (Persons) -- Fiction,PR,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
1357,Text,2005-02-07,Madame Firmiani,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1358,Text,1998-06-01,"Enoch Arden, &c.",en,"Tennyson, Alfred Tennyson, Baron, 1809-1892",English poetry -- 19th century,PR,Browsing: Literature; Browsing: Poetry
1359,Text,1998-06-01,A Guide to the Best Historical Novels and Tales,en,"Nield, Jonathan, 1863-",Historical fiction -- Bibliography,Z,Historical Fiction; Harvard Classics; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - General; Browsing: Literature
1360,Text,1998-06-01,Historical Lectures and Essays,en,"Kingsley, Charles, 1819-1875",History,D,Browsing: History - European; Browsing: History - General
1361,Text,1998-06-01,"Tom Swift and His Giant Cannon; Or, The Longest Shots on Record",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Ordnance -- Juvenile fiction",PZ,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction
1362,Text,1998-06-01,"Tom Swift and His Undersea Search; Or, the Treasure on the Floor of the Atlantic",en,"Appleton, Victor","Treasure troves -- Juvenile fiction; Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Underwater exploration -- Juvenile fiction",PZ,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction
1363,Text,1998-06-01,"Tom Swift Among the Fire Fighters; Or, Battling with Flames from the Air",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Fire extinction -- Juvenile fiction; Fire fighters -- Juvenile fiction",PZ,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction
