Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
3363,Text,2004-10-24,Fennel and Rue,en,"Howells, William Dean, 1837-1920",Editors -- Fiction; Novelists -- Fiction; Fan mail -- Fiction,PS,Browsing: Literature; Browsing: Fiction
3364,Text,2004-10-24,Dr. Breen's Practice,en,"Howells, William Dean, 1837-1920",Women physicians -- Fiction,PS,Browsing: Literature; Browsing: Fiction
3365,Text,2004-10-23,Their Wedding Journey,en,"Howells, William Dean, 1837-1920",Honeymoons -- Fiction; Canada -- Description and travel -- Fiction; New York (State) -- Description and travel -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Travel & Geography; Browsing: Fiction
3366,Text,2004-10-23,A Hazard of New Fortunes — Volume 1,en,"Howells, William Dean, 1837-1920","New York (N.Y.) -- Fiction; City and town life -- Fiction; Domestic fiction; Married people -- Fiction; Social classes -- Fiction; Middle-aged persons -- Fiction; Moving, Household -- Fiction",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3367,Text,2004-10-23,A Hazard of New Fortunes — Volume 2,en,"Howells, William Dean, 1837-1920","New York (N.Y.) -- Fiction; City and town life -- Fiction; Domestic fiction; Married people -- Fiction; Social classes -- Fiction; Middle-aged persons -- Fiction; Moving, Household -- Fiction",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3368,Text,2004-10-23,A Hazard of New Fortunes — Volume 3,en,"Howells, William Dean, 1837-1920","New York (N.Y.) -- Fiction; City and town life -- Fiction; Domestic fiction; Married people -- Fiction; Social classes -- Fiction; Middle-aged persons -- Fiction; Moving, Household -- Fiction",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3369,Text,2004-10-23,A Hazard of New Fortunes — Volume 4,en,"Howells, William Dean, 1837-1920","New York (N.Y.) -- Fiction; City and town life -- Fiction; Domestic fiction; Married people -- Fiction; Social classes -- Fiction; Middle-aged persons -- Fiction; Moving, Household -- Fiction",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3370,Text,2004-10-23,A Hazard of New Fortunes — Volume 5,en,"Howells, William Dean, 1837-1920","New York (N.Y.) -- Fiction; City and town life -- Fiction; Domestic fiction; Married people -- Fiction; Social classes -- Fiction; Middle-aged persons -- Fiction; Moving, Household -- Fiction",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3371,Text,2004-10-23,Their Silver Wedding Journey — Volume 1,en,"Howells, William Dean, 1837-1920",Americans -- Europe -- Fiction; Transatlantic voyages -- Fiction,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
3372,Text,2004-10-23,Their Silver Wedding Journey — Volume 2,en,"Howells, William Dean, 1837-1920",Americans -- Europe -- Fiction; Transatlantic voyages -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
3373,Text,2004-10-23,Their Silver Wedding Journey — Volume 3,en,"Howells, William Dean, 1837-1920",Americans -- Europe -- Fiction; Transatlantic voyages -- Fiction,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
3374,Text,2004-10-23,The Entire March Family Trilogy,en,"Howells, William Dean, 1837-1920",Fiction; Literature -- Collections,PS,Browsing: Literature; Browsing: Fiction
3375,Text,2004-10-23,The Landlord at Lion's Head — Volume 1,en,"Howells, William Dean, 1837-1920",Artists -- Fiction; Massachusetts -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3376,Text,2004-10-23,The Landlord at Lion's Head — Volume 2,en,"Howells, William Dean, 1837-1920",Artists -- Fiction; Massachusetts -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3377,Text,2004-10-22,Criticism and Fiction,en,"Howells, William Dean, 1837-1920",Criticism; Fiction -- History and criticism,PS,Browsing: Literature; Browsing: Philosophy & Ethics
3378,Text,2004-10-22,My Literary Passions,en,"Howells, William Dean, 1837-1920",Literature -- History and criticism,PN,Browsing: History - General; Browsing: Literature
3379,Text,2004-10-22,Short Stories and Essays (from Literature and Life),en,"Howells, William Dean, 1837-1920",Criticism; Fiction -- History and criticism; American fiction -- History and criticism,PN,Browsing: History - American; Browsing: Literature
3380,Text,2004-10-22,Staccato Notes of a Vanished Summer (from Literature and Life),en,"Howells, William Dean, 1837-1920",Short stories; Maine -- Fiction,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
3381,Text,2004-10-22,The Standard Household-Effect Company (from Literature and Life),en,"Howells, William Dean, 1837-1920",Fiction; Short stories,PS,Browsing: Literature; Browsing: Fiction
3382,Text,2004-10-22,American Literary Centers (from Literature and Life),en,"Howells, William Dean, 1837-1920",Essays; American literature,PS,Browsing: History - American; Browsing: Literature
3383,Text,2004-10-22,Spanish Prisoners of War (from Literature and Life),en,"Howells, William Dean, 1837-1920","Spanish-American War, 1898 -- Personal narratives",PS,Browsing: History - American; Browsing: Literature
3384,Text,2004-10-22,Some Anomalies of the Short Story (from Literature and Life),en,"Howells, William Dean, 1837-1920",Essays; Literature,PS,Browsing: Literature
3385,Text,2002-08-01,Last Days in a Dutch Hotel (from Literature and Life),en,"Howells, William Dean, 1837-1920",Netherlands -- Description and travel,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Travel & Geography
3386,Text,2004-10-22,The Editor's Relations with the Young Contributor (from Literature and Life),en,"Howells, William Dean, 1837-1920",Essays; Authors,PS,Browsing: Journalism/Media/Writing; Browsing: Literature
3387,Text,2004-10-22,Confessions of a Summer Colonist (from Literature and Life),en,"Howells, William Dean, 1837-1920",Atlantic Coast (U.S.) -- Description and travel,PS,Browsing: Literature; Browsing: Travel & Geography
3388,Text,2004-10-22,The Man of Letters as a Man of Business,en,"Howells, William Dean, 1837-1920",Essays; Authorship,PS,Browsing: Journalism/Media/Writing; Browsing: Literature
3389,Text,2004-10-22,Literature and Life (Complete),en,"Howells, William Dean, 1837-1920",Essays; Short stories; Literature -- Collections,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3390,Text,2004-10-22,My Mark Twain (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","Twain, Mark, 1835-1910; American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3391,Text,2004-10-22,A Belated Guest (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3392,Text,2004-10-22,Cambridge Neighbors (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3393,Text,2004-10-22,Studies of Lowell (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3394,Text,2004-10-22,The White Mr. Longfellow (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3395,Text,2004-10-22,Oliver Wendell Holmes (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Holmes, Oliver Wendell, 1841-1935; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3396,Text,2004-10-22,Literary Boston as I Knew It (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3397,Text,2004-10-22,Roundabout to Boston (from Literary Friends and Acquaintance),en,"Howells, William Dean, 1837-1920","New York (N.Y.); American literature -- 19th century -- History and criticism; Venice (Italy) -- Description and travel; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature; Browsing: Travel & Geography
3398,Text,2004-10-22,"My First Visit to New England, and Others (from Literary Friends and Acquaintance)",en,"Howells, William Dean, 1837-1920","American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography; Howells, William Dean, 1837-1920 -- Friends and associates",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3399,Text,2002-08-01,Complete Project Gutenberg William Dean Howells Literature Essays,en,"Howells, William Dean, 1837-1920","Literature -- History and criticism; American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3400,Text,2002-08-01,Complete Project Gutenberg William Dean Howells Works,en,"Howells, William Dean, 1837-1920",Literature -- History and criticism; American literature -- 19th century,PS,Browsing: History - American; Browsing: Literature
3401,Text,2002-09-01,The Elevator,en,"Howells, William Dean, 1837-1920",Comedy plays; American drama -- 19th century,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3402,Text,2002-09-01,The Parlor Car,en,"Howells, William Dean, 1837-1920",Comedy plays; American drama -- 19th century,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3403,Text,2002-09-01,The Register,en,"Howells, William Dean, 1837-1920",Comedy plays; American drama -- 19th century,PS,Browsing: Literature; Browsing: Fiction
3404,Text,2004-10-24,April Hopes,en,"Howells, William Dean, 1837-1920",Love stories; Courtship -- Fiction; Boston (Mass.) -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3405,Text,2004-10-24,Ragged Lady — Volume 1,en,"Howells, William Dean, 1837-1920",Young women -- Fiction; New England -- Fiction; Americans -- Italy -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3406,Text,2004-10-24,Ragged Lady — Volume 2,en,"Howells, William Dean, 1837-1920",Young women -- Fiction; New England -- Fiction; Americans -- Italy -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3407,Text,2006-04-06,The Spell of Egypt,en,"Hichens, Robert, 1864-1950",Egypt -- Antiquities; Egypt -- Description and travel,DT,Egypt; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography
3408,Text,2002-09-01,"The Shame of Motley: being the memoir of certain transactions in the life of Lazzaro Biancomonte, of Biancomonte, sometime fool of the court of Pesaro",en,"Sabatini, Rafael, 1875-1950","Historical fiction; Italy -- History -- 1492-1559 -- Fiction; Borgia, Cesare, 1476?-1507 -- Fiction",PR,Browsing: History - European; Browsing: Fiction
3409,Text,2002-09-01,Barchester Towers,en,"Trollope, Anthony, 1815-1882",Barchester (England : Imaginary place) -- Fiction; Domestic fiction; Clergy -- Fiction; Barsetshire (England: Imaginary place) -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3410,Text,2002-09-01,The American Spirit in Literature: A Chronicle of Great Interpreters,en,"Perry, Bliss, 1860-1954",American literature -- History and criticism,E151; PS,United States; Children's History; Browsing: History - American; Browsing: Literature
3411,Text,2002-09-01,The Stokesley Secret,en,"Yonge, Charlotte M. (Charlotte Mary), 1823-1901",Family -- Juvenile fiction,PR; PZ,Browsing: Children & Young Adult Reading; Browsing: Literature
3412,Text,2002-09-01,The Golden Chersonese and the Way Thither,en,"Bird, Isabella L. (Isabella Lucy), 1831-1904",Malay Peninsula -- Description and travel; China -- Description and travel; Singapore -- Description and travel,DS,Browsing: History - General; Browsing: Travel & Geography
3413,Text,2002-09-01,The Blazed Trail,en,"White, Stewart Edward, 1873-1946",Frontier and pioneer life -- Fiction; Michigan -- Fiction; Logging -- Fiction; Loggers -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3414,Text,2002-09-01,"The South Pole; an account of the Norwegian Antarctic expedition in the ""Fram,"" 1910-1912 — Volume 1",en,"Amundsen, Roald, 1872-1928; Nansen, Fridtjof, 1861-1930 [Author of introduction, etc.]; Chater, Arthur G. (Arthur Grosvenor), 1866-1951 [Translator]","Amundsen, Roald, 1872-1928 -- Travel -- Antarctica; South Pole -- Discovery and exploration -- Norwegian; Antarctica -- Discovery and exploration -- Norwegian",G,Browsing: History - General; Browsing: Travel & Geography
3415,Text,2002-09-01,"The South Pole; an account of the Norwegian antarctic expedition in the ""Fram,"" 1910-1912 — Volume 2",en,"Amundsen, Roald, 1872-1928; Chater, Arthur G. (Arthur Grosvenor), 1866-1951 [Translator]","Amundsen, Roald, 1872-1928 -- Travel -- Antarctica; South Pole -- Discovery and exploration -- Norwegian; Antarctica -- Discovery and exploration -- Norwegian",G,Browsing: History - General; Browsing: Travel & Geography
3416,Text,2002-09-01,William Ewart Gladstone,en,"Bryce, James Bryce, Viscount, 1838-1922","Gladstone, W. E. (William Ewart), 1809-1898",DA,Browsing: Biographies; Browsing: History - British; Browsing: History - General
3417,Text,2002-09-01,The Fortunes of Oliver Horn,en,"Smith, Francis Hopkinson, 1838-1915",New York (N.Y.) -- Fiction; Bildungsromans; Young men -- Fiction; Baltimore (Md.) -- Fiction; Painters -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3418,Text,2002-09-01,Captain Brassbound's Conversion,en,"Shaw, Bernard, 1856-1950",English drama (Comedy); Man-woman relationships -- Drama; Revenge -- Drama; Pirates -- Drama; British -- Morocco -- Drama; Self-actualization (Psychology) -- Drama,PR,Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction
3419,Text,2002-09-01,Rebecca Mary,en,"Donnell, Annie Hamilton, 1862-1943",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3420,Text,2002-09-01,"A Vindication of the Rights of Woman
With Strictures on Political and Moral Subjects",en,"Wollstonecraft, Mary, 1759-1797",Feminism; Women's rights -- Great Britain; Women -- Education -- Great Britain; Women -- History -- 19th century,HQ,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: History - British
3421,Text,2002-09-01,Bramble-Bees and Others,en,"Fabre, Jean-Henri, 1823-1915; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Bees,QL,Animals-Wild-Insects; Browsing: Nature/Gardening/Animals; Browsing: Science - General
3422,Text,2002-09-01,The Life of the Fly; With Which are Interspersed Some Chapters of Autobiography,en,"Fabre, Jean-Henri, 1823-1915; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Flies; Diptera,QL,Animals-Wild-Insects; Browsing: Nature/Gardening/Animals; Browsing: Science - General
3423,Text,2002-09-01,"The Strolling Saint; being the confessions of the high and mighty Agostino D'Anguissola, tyrant of Mondolfo and Lord of Carmina, in the state of Piacenza",en,"Sabatini, Rafael, 1875-1950",Historical fiction; Italy -- History -- 1492-1559 -- Fiction,PR,Browsing: History - General; Browsing: Literature; Browsing: Fiction
3424,Text,2002-09-01,For the Term of His Natural Life,en,"Clarke, Marcus Andrew Hislop, 1846-1881",Historical fiction; Australia -- Fiction; Prisoners -- Fiction; Penal colonies -- Australia -- Fiction; Penal transportation -- Fiction,PR,Australia; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography; Browsing: Fiction
3425,Text,2002-09-01,Samantha at Saratoga,en,"Holley, Marietta, 1836-1926",Rich people -- Fiction; Manners and customs -- Fiction; New York (State) -- Fiction; Husbands -- Fiction; Saratoga Springs (N.Y.) -- Fiction,PS,Humor; Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Fiction
3426,Text,2002-09-01,On Books and the Housing of Them,en,"Gladstone, W. E. (William Ewart), 1809-1898",Books; Book collecting -- Great Britain; Library science -- Great Britain,Z,Bibliomania; Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference
3427,Text,2002-09-01,"Kilo : being the love story of Eliph' Hewlitt, book agent",en,"Butler, Ellis Parker, 1869-1937",Love stories; Book industries and trade -- Fiction,PS,Browsing: Literature; Browsing: Fiction
3428,Text,2002-09-01,The Two Vanrevels,en,"Tarkington, Booth, 1869-1946",Triangles (Interpersonal relations) -- Fiction; Man-woman relationships -- Fiction; Mistaken identity -- Fiction; American fiction -- 20th century,PS,"Bestsellers, American, 1895-1923; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction"
3429,Text,2002-09-01,St. George for England,en,"Henty, G. A. (George Alfred), 1832-1902","Great Britain -- History -- Edward III, 1327-1377 -- Fiction",PR; PZ,Historical Fiction; Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: History - British; Browsing: Fiction
3430,Text,2002-09-01,The Suitors of Yvonne: being a portion of the memoirs of the Sieur Gaston de Luynes,en,"Sabatini, Rafael, 1875-1950","Historical fiction; France -- History -- Louis XIV, 1643-1715 -- Fiction; Love stories; Adventure stories; France -- History -- 17th century -- Fiction; Mazarin, Jules, 1602-1661 -- Fiction; Cardinals -- France -- Fiction",PR,Browsing: Culture/Civilization/Society; Browsing: History - European; Browsing: Literature; Browsing: Fiction
3431,Text,2002-09-01,The Gadfly,en,"Voynich, E. L. (Ethel Lillian), 1864-1960",Italy -- History -- Revolution of 1848 -- Fiction; Revolutionaries -- Fiction; Italy -- History -- 1815-1870 -- Fiction,PR,Browsing: History - European; Browsing: Literature; Browsing: Fiction
3432,Text,2002-09-01,Quotations from the Project Gutenberg Editions of the Works of Mark Twain,en,"Twain, Mark, 1835-1910; Widger, David, 1932-2021? [Editor]",Quotations,PS,Project Gutenberg; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
3433,Text,2002-09-01,Епически песни,bg,"Slaveikov, Pencho P., 1866-1912",Bulgarian poetry,PG,Browsing: Literature; Browsing: Poetry
3434,Text,2002-09-01,The Koran (Al-Qur'an),en,"Rodwell, J. M. (John Medows), 1808-1900 [Translator]",Qur'an,BP,Islam; Harvard Classics; Browsing: Religion/Spirituality/Paranormal
3435,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 01,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Literature
3436,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 02,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Literature
3437,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 03,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3438,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 04,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3439,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 05,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3440,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 06,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3441,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 07,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3442,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 08,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3443,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 09,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3444,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 10,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3445,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 11 [Supplement],en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3446,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 12 [Supplement],en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3447,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 13,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3448,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 14,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3449,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 15,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3450,Text,2002-09-01,The Book of the Thousand Nights and a Night — Volume 16,en,"Burton, Richard Francis, Sir, 1821-1890 [Translator]",Fairy tales; Tales -- Arab countries,PJ,Browsing: Culture/Civilization/Society; Browsing: Literature
3451,Text,2002-10-01,Marie Antoinette and Her Son,en,"Mühlbach, L. (Luise), 1814-1873","Historical fiction; Marie Antoinette, Queen, consort of Louis XVI, King of France, 1755-1793 -- Fiction; Louis XVII, of France, 1785-1795 -- Fiction",PT,Browsing: History - Royalty; Browsing: Literature; Browsing: Fiction
3452,Text,2002-10-01,Tea Leaves,en,Francis H. Leggett & Co.,Tea; Tea -- History; Tea trade -- History; Tea -- Social aspects,SB,Horticulture; Browsing: Cooking & Drinking; Browsing: Culture/Civilization/Society; Browsing: History - General
3453,Text,2002-10-01,"The Royal Road to Health; Or, the Secret of Health Without Drugs",en,"Tyrrell, Chas. A. (Charles Alfred), 1846-1918",Enema; Hygiene; Health; Health -- Popular works; Health promotion,RM,Browsing: Cooking & Drinking; Browsing: Health & Medicine; Browsing: Nutrition
3454,Text,2002-10-01,The Lilac Fairy Book,en,"Lang, Andrew, 1844-1912",Fairy tales; Folklore,PZ,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature
3455,Text,2004-12-17,Nederlandsche Sagen en Legenden,nl,"Cohen, Josef, 1886-1965; Dom, Pol, 1885-1978 [Illustrator]",Legends -- Netherlands; Tales -- Netherlands,GR; PT,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Travel & Geography
3456,Text,2002-10-01,Le tour du monde en quatre-vingts jours,fr,"Verne, Jules, 1828-1905",Adventure stories; Voyages around the world -- Fiction,PQ,FR Littérature; Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
3457,Text,2002-10-01,The Man of the Forest,en,"Grey, Zane, 1872-1939",Western stories; Arizona -- Fiction; American fiction -- 20th century,PS,"Western; Bestsellers, American, 1895-1923; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction"
3458,Text,2002-10-01,"Science and Health, with Key to the Scriptures",en,"Eddy, Mary Baker, 1821-1910",Christian Science; Health -- Religious aspects -- Christian Science,BX,Christianity; Browsing: Health & Medicine; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
3459,Text,2002-10-01,Quotations from the Project Gutenberg Editions of the Works of John Galsworthy,en,"Galsworthy, John, 1867-1933; Widger, David, 1932-2021? [Editor]",Quotations,PR,Project Gutenberg; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
3460,Text,2002-10-01,Old Fritz and the New Era,en,"Mühlbach, L. (Luise), 1814-1873; Langley, Peter [Translator]","Frederick II, King of Prussia, 1712-1786 -- Fiction; Prussia (Germany) -- History -- Frederick II, 1740-1786 -- Fiction",PT,Browsing: History - European; Browsing: Literature; Browsing: Fiction
3461,Text,2002-10-01,"Essays on Life, Art and Science",en,"Butler, Samuel, 1835-1902; Streatfeild, R. A. (Richard Alexander), 1866-1919 [Author of introduction, etc.]",Science; Evolution; Art criticism,PR,Browsing: Art & Photography; Browsing: Literature; Browsing: Philosophy & Ethics; Browsing: Science - General
3462,Text,2002-10-01,More Hunting Wasps,en,"Fabre, Jean-Henri, 1823-1915; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Wasps,QL,Animals-Wild-Insects; Browsing: Nature/Gardening/Animals; Browsing: Science - General
3463,Text,2004-10-04,The Boys' Life of Mark Twain,en,"Paine, Albert Bigelow, 1861-1937","Twain, Mark, 1835-1910; Authors, American -- 19th century -- Biography",PS,Browsing: Biographies; Browsing: History - American; Browsing: Literature
3464,Text,2005-02-16,Tish,en,"Rinehart, Mary Roberts, 1876-1958; Preston, May Wilson, 1873-1949 [Illustrator]","Humorous stories, American; Single women -- Fiction; Female friendship -- Fiction; Carberry, Letitia (Tish, fictitious character) -- Fiction; Middle-aged women -- Fiction",PS,Browsing: Humour; Browsing: Literature; Browsing: Fiction
3465,Text,2006-04-06,Under Two Flags,en,"Ouida, 1839-1908",Love stories; Algeria -- Fiction; France. Armée. Légion étrangère -- Fiction; British -- Algeria -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3466,Text,2004-07-08,The Foreigner: A Tale of Saskatchewan,en,"Connor, Ralph, 1860-1937",Canada -- Fiction; Saskatchewan -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Travel & Geography; Browsing: Fiction
3467,Text,2002-10-01,The Life of Cesare Borgia,en,"Sabatini, Rafael, 1875-1950","Renaissance -- Italy; Borgia, Cesare, 1476?-1507",DG,Browsing: History - European; Browsing: History - General
3468,Text,2002-10-01,Poems By the Way,en,"Morris, William, 1834-1896",English poetry -- 19th century,PR,Browsing: Literature; Browsing: Poetry
3469,Text,2002-10-01,The Hand of Ethelberta: A Comedy in Chapters,en,"Hardy, Thomas, 1840-1928",Humorous stories; Impostors and imposture -- Fiction; Courtship -- Fiction; Wessex (England) -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Literature; Browsing: Fiction
3470,Text,2002-10-01,Such Is Life,en,"Furphy, Joseph, 1843-1912",Australia -- Fiction; Diary fiction; Frontier and pioneer life -- Fiction; Bullockies -- Fiction,PR,Australia; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
3471,Text,2002-10-01,Quotations from the Project Gutenberg Editions of the Works of Charles Dudley Warner,en,"Warner, Charles Dudley, 1829-1900; Widger, David, 1932-2021? [Editor]",Quotations,PS,Project Gutenberg; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
